cluster_level,cluster,choice,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,topic50,topic51,topic52,topic53,topic54,topic55,topic56,topic57,topic58,topic59,topic60,topic61,topic62,topic63,topic64,topic65,topic66,topic67,topic68,topic69,topic70,topic71,topic72
level 2,1044,Elliptics,Elliptic coordinate system,Elliptical,Elliptic orbit,Elliptic geometry,Elliptic operator,Elliptic integral,Elliptic flow,Elliptics,Principal orbit type theorem,Elliptic curve,Bi-elliptic transfer,Elliptic function,Elliptic curve primality,Twists of elliptic curves,Hasse's theorem on elliptic curves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,7826,Future Investment Initiative Institute,Future Investment Initiative Institute,HOME Investment Partnerships Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1342,Permutation,Permutation,Permutation polynomial,Parity of a permutation,Permutation matrix,Commuting matrices,Permutation group,Cyclic permutation,Generalized permutation matrix,Substitution–permutation network,Alternating permutation,Permutation test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,1390,Carbonyl group,Carbonyl group,Carbonylation,Carbon group,Carbon compounds,Carbonic acid,Metal carbonyl,Carbonic anhydrase,Carbonyl alpha-substitution reactions,Carbonic anhydrase VI,"Α,β-Unsaturated carbonyl compound",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,929,Parasitology,Parasitology,Rose-ringed parakeet,ParABS system,Paraphilia,Paratonia,Biophilia hypothesis,Pärase,Parathion,Parasitism,Paratransit,Parabola,Parataxis,Paraklesis,"Cicikler, Çan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,135,Fungus,Fungal genome,FunGals,Sterile fungi,Wood-decay fungus,Fungus,Fungiculture,Pathogenic fungus,Fungal isolate,Evolution of fungi,Fungia,Plant–fungus horizontal gene transfer,Fungal Diversity Survey,Mushroom gene,Mushroom,Human interactions with fungi,Chemical test in mushroom identification,Edible mushroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,4100,Bawadi,Bawadi,Duḥkha,Sharmah,Banyaruguru,Bani Utbah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,514,Government,State government,Sovereign state,Local government area,Local government,Government agency,Government,Federal republic,National government,Instrument of Government,Republic,Local government in the United States,Presidential system,Sovereignty,Central government,Order of the Federal Republic,Government failure,Local Government Act 2000,Semi-presidential republic,Local government in the Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,10232,Periodization,Period 3 element,Period (school),The Three Periods,Latent period (epidemiology),Intertestamental period,Special Period,Periodization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,873,Ecthesis,Chemesthesis,Quantitative metathesis,Ecthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,8587,Method of support,Method of support,Support function,Do-support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,5321,Noise measurement,Noise measurement,Noise calculation,Excess noise ratio,Signal-to-noise ratio,Carrier-to-noise ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1058,Von Neumann architecture,Von Neumann entropy,Neumann boundary condition,Von Neumann architecture,Von Neumann universe,Planck units,Von Neumann stability analysis,Neumann–Neumann methods,Max Planck Institute for Mathematics in the Sciences,Von Neumann algebra,Max Planck Institute for Mathematics,Planck's law,Fokker–Planck equation,1069 Planckia,Planck constant,Nernst–Planck equation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,399,Electronics,Electronics prototyping,Analog device,Communications-electronics,Analog computer,Analogue electronics,Input device,Electronic effect,Solid-state electronics,Electronic engineering,Molecular electronics,Electronics Technology and Devices Laboratory,Integrated passive devices,Electronic band structure,Digital electronic computer,Electronics,Computer hardware,Digital electronics,Electronic structure,Electrical reactance,Error amplifier (electronics),Fine electronic structure,Electronica,Analog Protection System,Electronicore,Output device,Steady state (electronics),Lille Laboratory of Electrical Engineering and Power Electronics,Layer (electronics),Electronic hardware,DIT School of Electronic and Communications Engineering,COM (hardware interface),Molecular scale electronics,Smart wearable system,Device,Wearable technology,Electronic component,Dynamic logic (digital electronics),Device paradigm,FIFO (computing and electronics),Failure of electronic components,Insertion device,Device ecology,Mathematical methods in electronics,Supramolecular electronics,Via (electronics),Device file,Sensitivity (electronics),Adder (electronics),Flexible electronics,Low-power electronics,Wearable computer,Attenuator (electronics),Tee-Comm Electronics,Applied Electronics and Instrumentation Engineering,,,,,,,,,,,,,,,,,,
level 1,2382,United States antitrust law,History of United States antitrust law,United States antitrust law,High-Tech Employee Antitrust Litigation,Antitrust cases against Google by the European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,831,Sharia,Sharia,Shading,Clustal,Purusha Sukta,Supercluster,Pulmonology,Shapley Supercluster,Pulu (material),Purusha,Pultrusion,Pudpod,Deusto,Pulsar,Purgatory,Purfling,Shadoof,Pietism,Shabda,Pieštvė,Piety,Procrustes analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,493,Lawsuit,International litigation,United States antitrust law,"Tribunals, Courts and Enforcement Act 2007",International arbitration,History of United States antitrust law,Lawsuit,Arbitral tribunal,Litigation strategy,Jurisdictional arbitrage,Arbitration clause,Antitrust cases against Google by the European Union,Frivolous litigation,Sué,Health Practitioners Disciplinary Tribunal,Lawsuits involving Meta Platforms,Arbitration in the United States,Combatant Status Review Tribunal,International Residual Mechanism for Criminal Tribunals,High-Tech Employee Antitrust Litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1658,Incentive,Investment incentive,Subsidy,Reward system,Gains from trade,Gain (antenna),Agricultural subsidy,Incentive payments,Gain (accounting),Incentive system,Incentive program,Gain (electronics),Incentive,Performance-linked incentives,Bonus share,Mutual Gains Approach,Extrinsic incentives bias,Incentive compatibility,Primary and secondary gain,Majority bonus system,Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,9279,Soil management,Soil management,Soil conservation,Soil and Water Conservation Society,Soil governance,1938 USDA soil taxonomy,Soil conditioner,Narragansett (soil),Soil policy in Victoria,Soil Conservation and Domestic Allotment Act of 1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
