cluster_level,cluster,random_topic,topic1,topic2,topic3,topic4,topic5,topic6,choice,is_right,topic7,topic8
level 1,6255,Species homogeneity,Sumset,Direct sum,Summation equation,Sumthing Distribution,Summation,Gauss sum,Gauss sum,False,,
level 4,54,Water treatment,Microeconomic reform,Transformation in economics,Economic sector,Keynesian economics,Capitalism,Carbon tax,Water treatment,True,Growth and yield modelling,Modern Monetary Theory
level 2,405,Direct digital synthesis,IBM Power Systems,PowerPC,Power system simulation,Power control,Micro power source,Power management,Power system simulation,False,Advanced Power Management,Power training
level 1,10493,Concerto competition,Bypass (road),Cardiopulmonary bypass,,,,,Bypass (road),False,,
level 2,365,Regulation of genetic engineering,Test light,Variations in traffic light operation,Electric light,Lightwell,Formation light,Light Art Space,Lightwell,False,Light and Life,Light art
level 4,10,Gaze,Stall (fluid dynamics),Fluid animation,Atmospheric convection,Center for Turbulence Research,Two-dimensional electron gas,Compressor characteristic,Center for Turbulence Research,False,Circulation evaporator,Electrostatic discharge materials
level 3,357,Solenoidal vector field,Marine propulsion,Fishbowl,Age determination in fish,Squid,Montemar Institute of Marine Biology,Aquatic Species Program,Aquatic Species Program,False,Essential fish habitat,Fish fillet processor
level 1,9621,Jewish history,Theory of relativity,History of general relativity,Tests of general relativity,Exact solutions in general relativity,Alternatives to general relativity,Special relativity,History of general relativity,False,Mathematics of general relativity,Special relativity (alternative formulations)
level 2,265,Scott catalogue,Breeding for drought stress tolerance,Drought tolerance,Equilibrium moisture content,Moisture,Hardiness (plants),Drought,Equilibrium moisture content,False,Free Air Humidity Manipulation,Humidity
level 1,983,Cell–cell interaction,Superoxide,Epoxide hydrolase,Epoxide,,,,Epoxide hydrolase,False,,
level 2,1005,Powered exoskeleton,Trumpet,Brass,Trumpets and Drums,Jazz dance,Piano Jazz,Brass instrument,Trumpets and Drums,False,Jazz education,Trombone
level 1,7709,Acquiring bank,Deficit spending,Deficit,,,,,Deficit spending,False,,
level 1,8997,Strong and weak typing,Best Value,Highest and best use,,,,,Strong and weak typing,True,,
level 2,2,Fusiform body area,Primary health organisation,Health in Germany,National Health Policy,Community health center,Public Health Advisor,Public health insurance option,Public Health Advisor,False,Medical state,Immigrant health care in the United States
level 3,303,Eclipse Modeling Framework,Education for Ministry,Apprenticeship learning,Vocational education,"Minister of Higher Education, Research and Innovation (France)",Perpetual student,Personal and social education,Purpose-guided education,False,Educational aims and objectives,Purpose-guided education
level 3,415,Standard enthalpy of formation,Electric gate,Line management,Periodic boundary conditions,Burro Schmidt Tunnel,Tunnel construction,Barrier function,Tunnel construction,False,Suspension bridge,Entry Level
level 1,7305,Registry of Toxic Effects of Chemical Substances,.lt,LTI,LTE (telecommunication),LTE Advanced,,,.lt,False,,
