cluster_level,cluster,random_topic,topic1,topic2,topic3,topic4,topic5,topic6,topic7,choice,is_right,topic8
level 2,2014,Debtor finance,Xbox Wireless Controller,Controllerism,Game controller,Programmable logic controller,Classic Controller,Embedded controller,Memory controller,Debtor finance,True,
level 3,324,Business management tools,Hierarchical organization,Emergent organization,Not-for-profit arts organization,Organizational stakeholders,Association mapping,Differential association,Full Range Leadership Model,Business management tools,True,Leadership development
level 3,209,Participatory note,Curtis–Hedlund–Lyndon theorem,Nagata–Smirnov metrization theorem,Hyperplane separation theorem,Strassmann's theorem,Dvoretzky's theorem,Fenchel's duality theorem,Blaschke–Lebesgue theorem,Participatory note,True,Taylor's theorem
level 1,8887,Christian values,The Objectivity of the Sociological and Social-Political Knowledge,Sociology of knowledge approach to discourse,Knowledge falsification,Knowledge neglect,Knowledge spillover,Curse of knowledge,Sociology of knowledge,Christian values,True,Appropriation of knowledge
level 1,1209,Alû,Valve actuator,Variable Valve Event and Lift,Valve,Active valve control system,Heart valve,Valve replacement,Electrohydraulic servo valve,Alû,True,Control valve
level 1,3451,Creative entrepreneurship,Aspøy,Ringvassøya,Larsøya,"Askeland, Radøy",,,,Creative entrepreneurship,True,
level 4,46,Process function,Spread option,Uncertainty reduction theory,Downregulation and upregulation,Azuma's inequality,First variation,Initial stability,Sub-sampling (chemistry),Process function,True,Statistical data type
level 4,30,Zooarchaeology,Würzburg,Haviland,Gesellschaft mit beschränkter Haftung,Deutsche Gesellschaft für Kardiologie,Kapitalanlagegesetzbuch,Riedstadt,Bebra–Baunatal-Guntershausen railway,Zooarchaeology,True,Reichs-Rundfunk-Gesellschaft
level 2,1977,Morphometrics,Gear shaping,Epicyclic gearing,KDE Gear,Bevel gear,Gear stick,Gear bearing,Gear,Morphometrics,True,Spiral bevel gear
level 4,65,Meta-learning,Formal verification,Facing Identification Mark,Standard test image,Exam,Software performance testing,Structure validation,Data Processing and Analysis Consortium,Meta-learning,True,Building inspection
level 3,317,Outbuilding,Virtual limited liability company,Cross-border insolvency,Insurance and Finance,Limited liability partnership,Payment protection insurance,International Association for the Study of Insurance Economics,Liability insurance,Outbuilding,True,Open compensation plan
level 2,1828,Robust optimization,Phylogenetic comparative methods,Computational phylogenetics,Subgenus,Taxonomy,Phylogenetic profiling,Phylogenetic reconciliation,Three-taxon analysis,Taxonomy,False,Primitive (phylogenetics)
level 5,6,Intercultural relations,Religious philosophy,Spirituality,Calvary Chapel Association,Formal and material principles of theology,"Philosophy, theology, and fundamental theory of Catholic canon law",Free offer of the gospel,Religiosity,Intercultural relations,True,Protestantism
